"cut","clarity","table","x","z"
"Premium","VS2",58,4.2,2.63
"Very Good","SI1",55,4.07,2.53
"Ideal","VS1",56,3.93,2.46
"Premium","I1",58,4.38,2.68
"Very Good","SI1",59,4.21,2.66
"Very Good","SI1",62,4.39,2.62
"Very Good","VS2",57,4.28,2.67
"Very Good","VS1",57,4.04,2.42
"Good","VS1",59,4.06,2.37
"Ideal","SI2",55,4.49,2.78
"Good","VS1",63,4.19,2.46
"Good","SI2",56,4.36,2.79
"Ideal","VS1",54,3.93,2.44
"Ideal","SI2",59,4.3,2.63
"Good","SI1",55,4.25,2.7
"Ideal","SI1",56,4.3,2.68
"Very Good","SI1",57,4.33,2.73
"Very Good","SI1",56,4.29,2.7
"Very Good","VVS2",60,4.19,2.49
"Very Good","VVS1",59,4.06,2.55
"Ideal","SI2",56,4.65,2.87
"Premium","VVS1",59,4.02,2.44
"Fair","SI2",69,6.45,3.52
"Good","VS2",58,5.85,3.38
"Premium","SI1",58,5.97,3.66
"Premium","VS2",58,5.85,3.59
"Ideal","VVS2",55,5.77,3.61
"Ideal","SI2",56,5.8,3.62
"Ideal","VS2",53,5.8,3.62
"Ideal","SI2",59,6.01,3.62
"Fair","VS2",57,5.57,3.58
"Very Good","VVS2",57,5.56,3.32
"Very Good","SI1",58,5.64,3.6
"Premium","VVS1",60,5.52,3.37
"Ideal","VVS1",56,5.53,3.43
"Very Good","VS1",57,5.8,3.5
"Very Good","SI1",56,5.83,3.52
"Ideal","SI1",56,5.82,3.57
"Ideal","SI2",57,5.78,3.62
"Ideal","SI2",57,5.92,3.54
"Ideal","VS2",57,5.73,3.56
"Ideal","VVS1",55,5.39,3.33
"Premium","VS2",62,5.87,3.38
"Good","VS2",54,5.85,3.79
"Ideal","VS2",57,5.79,3.55
"Ideal","SI1",56,5.79,3.53
"Premium","VS2",58,5.67,3.53
"Ideal","VS2",55,5.7,3.53
"Premium","SI1",59,5.67,3.54
"Premium","SI1",61,5.82,3.56
"Good","VS2",59,5.64,3.6
"Ideal","VVS1",55,5.19,3.19
"Premium","VS2",58,5.9,3.62
"Premium","I1",60,6.39,3.94
"Very Good","VVS2",64,5.34,3.08
"Very Good","SI2",58,5.78,3.63
"Fair","SI1",67,6.39,3.47
"Very Good","VS1",56,5.85,3.75
"Very Good","VVS1",60,5.74,3.48
"Good","VS1",64,5.97,3.53
"Good","SI1",52,5.81,3.72
"Very Good","SI2",56,6.49,4.09
"Good","SI2",61,5.94,3.64
"Fair","SI2",59,6.41,4.18
"Premium","VS1",62,5.77,3.46
"Premium","SI1",59,5.83,3.46
"Premium","VS1",60,5.78,3.5
"Very Good","VS2",57,5.66,3.57
"Very Good","SI1",56,5.91,3.72
"Good","VS1",60,5.74,3.48
"Premium","VS2",57,5.73,3.58
"Very Good","SI1",60,6.07,3.67
"Ideal","VVS2",55,5.34,3.31
"Ideal","VS1",56,5.81,3.58
"Very Good","VS2",60,5.92,3.72
"Ideal","SI1",57,5.91,3.64
"Very Good","SI2",56,6.17,3.8
"Premium","VS1",60,5.74,3.59
"Ideal","I1",55,6.37,3.88
"Premium","VS2",58,5.7,3.53
"Premium","I1",58,6.46,4
"Premium","VS2",55,5.79,3.59
"Ideal","VS2",56,5.75,3.51
"Premium","VS2",62,5.85,3.38
"Premium","VS2",58,6.03,3.64
